63,360
73,158
106,206
245,218
347,64
143,102
145,245
171,352
63,14
75,138
31,117
205,298
336,159
155,149
302,181
58,229
273,352
331,394
96,246
344,22
25,395
391,397
89,146
261,68
380,353
243,29
76,22
2,198
229,313
141,379
379,97
329,175
300,269
186,16
53,358
286,205
394,93
73,267
279,150
264,369
372,22
63,332
70,337
350,33
20,359
290,372
10,1
82,316
387,131
303,88
228,272
24,380
59,388
163,136
7,33
157,204
39,12
186,158
242,23
281,339
319,248
160,41
67,146
46,111
158,316
353,70
375,146
69,214
350,67
74,288
33,127
36,305
253,348
350,119
137,314
56,249
158,109
178,342
142,224
342,115
157,375
117,312
126,331
384,193
202,364
198,179
9,259
381,121
332,358
22,220
112,362
200,298
20,182
153,126
106,166
309,30
338,174
27,350
56,48
14,365
84,229
127,333
376,107
248,229
331,121
89,178
81,72
167,245
336,146
339,241
322,36
73,208
273,131
21,124
232,203
71,27
215,120
80,326
340,148
43,364
147,264
128,87
264,47
340,274
119,55
238,272
308,138
257,187
193,357
383,14
47,321
321,255
191,288
278,341
382,107
268,260
143,261
321,371
390,307
268,238
340,108
378,211
45,279
78,113
8,225
364,258
267,243
98,148
178,127
215,248
399,321
328,174
289,202
18,32
40,355
315,336
338,356
131,89
4,187
50,240
139,142
290,65
387,52
306,111
394,43
144,160
140,280
5,176
364,184
156,216
287,43
146,244
16,35
186,41
344,361
115,226
285,372
399,237
380,22
116,378
211,69
213,325
291,46
160,346
149,225
42,241
347,400
153,32
322,282
163,211
267,85
47,162
256,353
311,362
336,88
132,73
38,8
366,240
258,99
238,157
241,273
55,301
78,97
264,287
29,268
51,10
130,251
333,392
336,339
322,152
211,27
95,82
212,165
112,212
286,46
238,99
271,249
368,347
54,338
51,126
41,374
222,84
37,303
372,79
65,115
5,142
137,12
193,207
381,360
296,393
357,374
184,174
139,5
319,313
74,312
142,310
186,119
379,247
374,294
1,106
226,158
31,234
240,138
151,323
356,286
329,120
370,166
175,366
385,148
203,66
231,151
110,293
5,53
76,231
31,386
346,398
355,133
11,44
89,79
155,263
258,358
234,22
14,171
294,289
79,79
294,185
236,396
108,310
75,349
189,331
29,337
84,339
102,10
312,331
141,399
294,311
206,84
239,325
147,314
360,217
248,208
244,39
356,210
175,347
309,392
55,185
178,86
186,170
266,338
303,356
242,5
24,164
92,67
100,10
131,14
300,366
44,211
88,83
290,348
19,394
253,305
116,156
6,253
79,45
270,128
27,279
163,218
286,285
116,180
16,311
205,45
388,203
313,247
279,356
49,171
95,239
286,87
9,138
110,151
196,46
104,187
20,352
159,318
235,185
335,326
177,316
3,384
133,40
233,8
55,8
327,364
166,327
77,25
322,162
87,143
311,107
128,317
327,168
323,334
221,34
254,201
254,272
369,301
293,317
202,180
97,197
190,50
397,340
52,260
37,255
395,21
157,212
210,170
280,318
25,374
255,122
168,133
26,348
179,359
93,29
292,398
71,314
228,243
237,289
348,186
258,90
52,75
238,341
34,26
249,157
231,316
279,205
188,46
333,133
339,353
202,147
124,262
381,7
264,142
292,312
327,316
65,185
309,204
226,52
98,211
202,365
277,123
350,350
325,170
262,57
195,103
170,291
240,241
139,50
134,153
382,122
343,300
141,153
222,98
243,316
130,275
127,146
262,4
326,369
107,231
166,89
151,336
340,270
127,27
357,165
94,63
263,207
60,113
169,13
6,44
277,368
361,154
310,309
195,99
171,113
303,325
82,233
80,47
273,200
400,118
328,273
54,64
220,1
189,64
330,312
56,5
271,194
30,136
309,278
187,97
268,129
322,176
110,219
150,352
331,372
355,254
50,205
98,303
145,173
228,359
137,179
137,347
26,14
251,2
139,159
232,181
318,255
109,61
281,184
