1111,"(47.651,-122.349)",2019-01-01,ALDER,4,2,3
18,"(287965.452,5044070.727)",2018-06-27,TRUEFIR,84,21,349
24,"(299085.781,5046918.0)",2015-12-18,ASPEN,129,135,218
45,"(292828.499,5047813.872)",2018-07-31,CHERRY,190,91,379
51,"(292813.787,5047823.434)",2018-07-31,MOUNTAINASH,33,212,41
58,"(292828.349,5047809.829)",2018-07-31,SWEETGUM,158,124,160
67,"(299369.572,5042501.0)",2018-10-24,GIANTSEQUOIA,73,204,274
73,"(299406.531,5042542.5)",2017-08-15,BASSWOOD,173,159,195
78,"(299247.856,5038138.5)",2007-07-04,CHERRY,166,160,236
87,"(299316.122,5042403.5)",2017-08-15,BIRCH,109,5,360
91,"(299337.292,5042435.0)",2017-08-15,LARCH,107,96,214
105,"(288823.273,5043916.596)",2004-08-30,MAPLE,4,202,1
109,"(288846.219,5043903.5)",2004-08-30,APPLE,119,50,23
115,"(297919.039,5043206.0)",2017-01-10,HAZEL,65,139,277
121,"(299602.598,5043412.0)",2017-08-28,CHINKAPIN,27,95,341
136,"(299860.145,5042578.143)",2011-02-24,HAZEL,21,332,228
145,"(295094.499,5042751.786)",2014-07-24,COTTONWOOD,13,173,157
148,"(293663.382,5043426.859)",2014-08-13,CHINKAPIN,185,47,154
164,"(298940.557,5038197.5)",2015-10-05,OAK,73,171,371
171,"(298705.225,5044289.5)",2017-01-11,WHITECEDAR,21,283,326
173,"(299782.656,5042131.0)",2011-02-08,TRUECEDAR,69,254,109
176,"(297296.943,5047055.041)",2017-08-15,TANOAK,72,328,3
181,"(288767.347,5043855.765)",2017-06-02,HEMLOCK,119,375,182
194,"(293504.534,5043794.12)",2004-10-03,REDCEDARARBORVITAE,157,162,1
195,"(299785.719,5042144.5)",2015-09-21,HEMLOCK,166,57,371
205,"(299746.688,5042169.5)",2010-03-22,DOUGLASFIR,13,124,140
207,"(299675.719,5042215.5)",2017-10-01,SPRUCE,49,388,262
216,"(299937.875,5042030.5)",2015-09-21,SPRUCE,68,384,288
219,"(299915.625,5042045.0)",2015-09-21,ELM,65,247,49
221,"(299906.938,5042051.0)",2015-09-21,ASH,166,164,302
222,"(299895.656,5042058.0)",2017-10-01,MOUNTAINMAHOGANY,59,207,164
224,"(299886.563,5042063.5)",2015-09-21,DOGWOOD,172,370,365
225,"(295475.687,5045302.053)",2004-09-18,GIANTSEQUOIA,66,294,319
227,"(295462.125,5045312.0)",2004-09-18,ASPEN,37,66,129
228,"(299871.531,5042073.5)",2015-09-21,MAPLE,72,318,370
236,"(295361.056,5045261.436)",2016-09-30,BUCKEYE,80,318,45
238,"(299912.906,5042062.5)",2015-09-21,HAWTHORN,186,121,52
239,"(299906.0,5042066.5)",2015-09-21,LARCH,60,233,21
244,"(299866.469,5042092.0)",2010-03-16,CHINKAPIN,190,271,230
250,"(291656.5,5046864.0)",2004-09-16,ELM,66,210,48
252,"(291649.21,5046881.76)",2004-09-16,ASH,153,211,94
272,"(298823.521,5043426.0)",2016-09-29,WILLOW,178,338,163
275,"(294566.053,5046490.188)",2018-08-14,BUCKTHORN,163,131,276
277,"(298270.536,5036929.0)",2012-10-02,CATALPA,182,387,273
279,"(298332.131,5036899.0)",2006-07-25,ASH,173,212,253
