2018-03-26,20,110
2018-10-29,109,343
2018-07-29,141,340
2019-02-17,216,266
2018-05-29,81,203
2018-12-13,48,222
2019-02-12,78,297
2018-11-19,195,358
2018-11-15,38,335
2019-02-24,151,171
2018-06-12,72,234
2018-02-27,239,19
2018-08-29,18,274
2018-10-13,83,249
2018-09-23,123,122
2018-10-10,88,101
2018-04-20,91,345
2019-02-22,115,379
2018-12-21,61,293
2018-03-09,221,11
2018-09-25,14,42
2018-05-04,32,261
2019-02-22,197,8
2018-04-04,225,232
2018-10-13,98,97
2018-07-14,57,70
2018-04-23,182,164
2018-05-13,123,323
2018-04-16,161,129
2018-06-25,229,51
2018-10-15,210,154
2018-07-17,113,60
2019-02-01,32,37
2018-06-15,75,72
2018-08-27,106,329
2018-08-16,177,46
2019-02-09,185,253
2018-12-10,161,133
2018-07-31,179,208
2018-03-07,218,170
2019-02-03,3,276
2019-01-18,230,259
2018-07-16,125,195
2018-07-12,146,253
2018-05-25,201,267
2018-10-19,98,26
2018-11-05,214,378
2018-04-25,65,291
2018-05-10,162,314
2018-05-16,189,160
2018-08-14,101,390
2018-09-30,15,202
2018-06-02,76,271
2018-07-09,137,326
2019-01-19,94,87
2019-02-12,124,32
2018-08-11,144,35
2019-02-08,10,63
2018-08-22,51,388
2019-01-06,36,116
2018-04-18,16,145
2018-03-01,244,41
2019-01-13,66,176
2018-12-22,156,127
2018-08-23,98,109
2019-01-13,51,46
2018-08-11,24,281
2018-08-23,92,267
2018-03-08,180,382
2019-02-15,64,357
2018-07-02,52,223
2018-08-31,243,154
2018-06-04,94,219
2018-07-26,172,40
2018-08-05,5,326
2018-07-03,58,122
2018-06-25,76,35
2018-07-27,56,170
2018-07-04,200,305
2018-09-12,110,351
2018-03-06,175,108
2018-10-05,151,78
2018-11-29,236,48
2018-04-13,232,331
2019-01-08,163,102
2019-01-17,21,66
2018-04-25,111,195
2018-11-20,154,49
2018-03-13,77,277
2018-11-18,231,234
2018-02-28,112,140
2018-04-20,117,253
2018-07-29,178,175
2018-11-12,167,191
2018-07-18,121,356
2018-09-30,237,65
2018-07-04,67,210
2018-05-21,95,46
2018-12-10,188,317
2018-09-10,214,223
2019-02-08,114,274
2019-02-23,203,111
2018-06-28,169,346
2018-09-11,139,119
2018-09-28,221,123
2019-01-31,158,98
2018-10-18,38,235
2018-07-12,178,129
2018-05-18,2,264
2018-11-09,86,238
2018-11-26,5,18
2019-01-29,65,281
2018-08-21,135,143
2018-07-03,119,98
2018-10-21,30,54
2018-06-12,101,348
2019-02-22,236,275
2019-02-15,9,244
2018-07-16,104,239
2018-08-08,72,196
2018-05-07,234,209
2019-01-01,99,311
2019-01-11,191,126
2018-03-30,155,178
2019-02-06,231,71
2018-09-24,147,53
2018-06-18,179,359
2018-10-07,60,137
2018-10-26,30,297
2018-11-21,140,206
2018-04-01,132,331
2018-05-27,203,112
2019-01-04,171,130
2018-07-25,54,72
2018-07-04,89,232
2018-06-29,81,181
2019-02-24,91,300
2018-06-09,214,140
2019-02-19,212,126
2018-06-18,95,329
2018-11-22,65,21
2018-08-23,119,54
2018-07-03,112,294
2018-12-21,204,330
2018-08-27,68,218
2018-05-02,125,145
2018-06-24,57,48
2018-10-22,198,99
2018-03-21,63,95
2018-05-28,106,377
2018-12-06,2,8
2019-01-25,58,109
2018-10-01,177,334
2018-08-29,220,185
2018-10-06,107,54
2018-11-14,16,158
2018-09-16,232,24
2018-04-16,25,210
2018-05-01,9,144
2019-02-04,188,46
2018-04-13,236,95
2018-05-12,42,379
2019-01-20,179,66
2018-10-17,4,47
2018-11-20,162,21
2018-12-19,86,356
2018-10-26,239,25
2018-08-06,100,361
2018-07-11,160,93
2018-08-09,156,277
2018-04-25,115,202
2018-04-20,171,150
2019-02-17,213,329
2018-06-01,163,190
2018-07-26,92,358
2018-09-11,233,121
2018-09-08,120,272
2018-04-23,2,70
2018-03-16,106,116
2019-01-08,138,99
2018-06-24,160,268
2019-02-19,150,39
2018-04-30,207,295
2018-08-26,10,184
2018-12-28,218,34
2018-05-26,144,383
2018-07-02,62,303
2018-11-29,178,210
2018-09-13,210,295
2018-09-19,118,141
2018-12-22,242,143
2018-03-07,214,367
2018-10-31,92,223
2018-07-16,184,252
2018-03-24,225,198
2018-11-22,220,121
2019-01-13,113,166
2018-07-07,209,322
2019-01-19,240,267
2018-04-03,235,366
2018-12-14,174,74
2018-05-23,200,361
2018-10-16,235,364
2018-09-12,69,390
2019-02-18,54,387
2018-12-08,180,244
2018-06-20,224,390
2018-06-12,86,183
2018-08-17,4,88
2018-11-13,100,215
2018-10-17,154,286
2019-01-19,226,16
2018-03-11,26,309
2018-05-24,184,351
2018-06-18,191,157
2018-03-06,231,257
2018-10-24,166,307
2018-03-15,168,74
2019-01-20,54,191
2018-05-27,86,157
2018-10-22,33,210
2018-10-17,188,24
2018-04-08,133,142
2018-11-06,4,40
2019-01-01,187,368
2018-10-08,48,180
2018-03-10,66,73
2019-01-06,133,266
2018-07-07,45,244
2018-09-01,243,139
2018-09-02,51,305
2018-03-30,125,145
2019-02-20,45,19
2018-08-08,40,379
2018-11-25,136,275
2018-12-15,96,366
2018-11-23,90,28
2018-03-07,214,233
2018-07-04,159,383
2018-08-16,144,224
2018-09-01,109,339
2019-01-19,86,34
2018-09-03,232,67
2018-08-12,46,186
2018-05-01,146,333
2018-04-25,157,300
2018-08-31,60,27
2018-12-09,216,274
2019-01-29,19,236
2018-09-03,236,329
2018-10-12,131,255
2019-02-05,92,21
2018-12-25,86,55
2018-09-01,151,119
2018-09-07,157,66
2018-11-04,15,207
2018-10-13,13,240
2019-02-06,231,169
2018-04-15,80,272
2018-05-19,112,191
2018-05-28,187,217
2018-05-28,127,183
2018-07-26,146,274
2018-03-16,10,166
2018-12-12,8,221
2018-11-12,77,278
2018-10-20,106,164
2018-03-06,45,189
2019-02-11,154,271
2018-07-31,98,224
2018-11-20,175,55
2019-01-16,60,82
2018-12-20,197,336
2018-03-20,157,24
2018-05-12,112,12
2018-12-16,64,292
2018-11-23,168,375
2019-01-30,93,345
2019-02-20,6,257
2018-08-17,49,248
2018-10-24,236,213
2018-06-06,24,311
2018-12-27,18,98
2018-05-14,30,185
2018-12-02,22,193
2018-09-09,56,20
2018-09-20,136,243
2018-09-18,201,235
2018-06-07,236,307
2018-07-14,81,11
2018-07-03,99,139
2018-04-11,82,27
2018-06-13,68,134
2018-04-26,188,175
2018-03-17,149,278
2018-08-02,160,220
2018-12-05,215,255
2018-10-25,133,65
2018-12-12,35,256
2018-09-13,94,373
2018-10-21,208,232
2018-12-23,195,283
2018-09-30,108,376
2018-07-26,175,288
2018-04-16,3,134
2018-05-04,195,133
2019-01-28,26,357
2019-02-23,229,257
2018-11-06,62,256
2018-05-24,136,37
2019-01-13,8,254
2018-12-10,43,386
2018-10-05,107,132
2018-03-07,224,76
2018-09-17,75,135
2018-10-30,239,342
2018-08-07,141,291
2018-05-30,170,113
2018-04-23,133,340
2018-04-16,52,206
2018-10-13,16,178
2018-10-20,149,337
2018-08-27,62,296
2019-02-21,31,111
2018-07-08,8,13
2018-07-26,38,235
2018-03-30,158,131
2018-03-17,238,52
2018-03-24,214,359
2018-09-10,128,177
2019-02-15,195,151
2018-07-03,199,288
2018-03-19,203,115
2018-06-05,137,74
2019-01-29,102,147
2018-12-19,178,267
2018-08-08,112,161
2018-06-05,102,36
2018-07-29,55,274
2018-03-05,185,248
2018-05-13,149,217
2018-10-12,172,352
2018-03-10,97,223
2018-11-12,181,270
2018-09-01,153,327
2018-05-12,186,321
2018-06-29,47,324
2018-09-14,223,210
2018-03-11,216,276
2018-11-28,217,306
2018-06-20,29,201
2018-05-24,32,155
2018-08-22,213,89
2018-03-28,47,192
2019-02-22,154,206
2018-06-07,40,321
2018-04-20,37,78
2018-04-29,16,146
2018-03-13,177,135
2018-03-22,118,251
2018-10-22,13,182
2018-11-23,15,254
2018-08-20,94,376
2018-09-04,174,99
2018-11-05,107,147
2018-08-16,31,343
2018-06-30,109,116
2018-09-04,87,271
2018-04-20,156,244
2019-01-15,178,224
2018-04-28,117,326
2018-10-11,98,322
2018-06-09,106,323
2018-09-01,32,69
2018-06-02,12,252
2018-07-27,177,334
2018-09-27,183,208
2018-06-07,147,324
2018-03-08,146,110
2018-04-06,7,264
2018-06-22,171,208
2018-10-21,199,167
2018-09-17,64,119
2018-04-15,14,241
2018-06-28,114,319
2018-12-30,140,213
2018-09-09,98,352
2018-03-02,92,324
2018-07-22,44,172
2019-02-14,75,9
2018-08-24,138,64
2018-04-04,125,258
2018-04-26,74,244
2019-01-14,245,303
2018-09-04,243,219
2018-08-17,207,265
2018-12-27,131,99
2019-01-05,16,118
2018-05-14,151,269
2018-08-09,213,25
